,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability,True Rt
49,50,0.1990793659858556,0.1031827321187296,0.07671011080267251,0.3922289936716808,0.95,0.0
50,51,0.18851040132170793,0.21695211055976613,0.05793480671164617,0.4141093289994846,0.95,0.05263158
51,52,0.22405059771988903,0.14706109888208638,0.06092551531711229,0.5152677894638471,0.95,0.0
52,53,0.22241011411051123,0.18458424834866127,0.043334201735997585,0.5725151050483643,0.95,0.0
53,54,0.29393949651188356,0.16593408845127355,0.054551036962739975,0.7628615862933636,0.95,0.0
54,55,0.37394363090889515,0.22325191968002953,0.0610719063598969,0.9936996994421008,0.95,0.0
55,56,0.4699548951844766,0.03694535871879886,0.07944710784470924,1.2619849548840625,0.95,0.0
56,57,0.5361555422244895,0.12060384214332164,0.06843271470212854,1.524735525421952,0.95,0.0
57,58,0.5666381027974889,0.26150682004292214,0.056183782416604613,1.7278946162173052,0.95,0.0
58,59,0.7228193985573472,0.5110603857644218,0.0692875016406111,2.1856962794209744,0.95,0.0
59,60,0.8017287385048185,0.34242318158782603,0.0666120157809756,2.5208421704399617,0.95,0.0
60,61,0.9316388449768295,0.19101778048737394,0.07029204010024895,2.9963787683534107,0.95,0.5
61,62,0.954834737172718,0.5546967801195909,0.04594203396228571,3.317048916314075,0.95,1.0
62,63,1.0769856437633005,0.6645077845061064,0.038011262870872274,3.8715748067999263,0.95,0.0
63,64,1.3281919997796898,0.8668849064871136,0.049620779700129514,4.748753396473888,0.95,0.0
64,65,1.6187678435736397,0.4548584697848424,0.05510061671088608,5.838347728685383,0.95,0.0
65,66,2.1759957302934434,0.5178241696628233,0.10218653796295117,7.5829834503045985,0.95,0.0
66,67,2.5893523780519816,0.5713365228414374,0.10543542713417156,9.175840924691313,0.95,0.0
67,68,3.4971709057801332,0.692898340452869,0.21624621935396746,11.696661592803055,0.95,0.0
68,69,3.7095209149375554,0.9356227437746717,0.18758118802776738,12.800928973463567,0.95,0.0
69,70,4.6588035166544985,1.2939600424681448,0.35109318785550975,14.987746994776241,0.95,0.0
70,71,3.9175985458218117,1.7274864222097726,0.18526888967797278,13.63996835774692,0.95,0.0
71,72,3.5159173561749553,2.1852061458096883,0.13876629260818404,12.500753773295273,0.95,0.0
72,73,2.9455843873416723,6.302110538530092,0.07457573992023868,10.86590572682348,0.95,0.0
73,74,2.859707037825153,2.928976060358052,0.07240151367497964,10.549114536618228,0.95,0.0
74,75,3.044325785535001,2.55341196621597,0.07707565567979766,11.230150841889333,0.95,0.0
75,76,3.397952025078422,1.7745832439685252,0.08602869691076451,12.53463541137663,0.95,0.0
76,77,3.782031235090295,1.5439560196874174,0.09575274060060286,13.95145731794174,0.95,0.0
77,78,4.114810979139152,1.7383482889955066,0.10417799426149296,15.179041678508867,0.95,0.0
78,79,4.338137858528846,2.0678479295195435,0.10983214131161188,16.002867615440888,0.95,0.0
79,80,4.4294964318209935,2.4369152379951875,0.11214514012794118,16.339878379415453,0.95,0.0
80,81,4.379822343215746,2.7740859814932235,0.11088750109083889,16.15663665455772,0.95,0.0
81,82,4.13689855565856,3.0147345625519804,0.10473720328264964,15.260520085722478,0.95,0.0
82,83,3.6625929970310542,3.1939698265010072,0.09272882622343709,13.510864055529439,0.95,0.0
83,84,2.8623980157824107,3.3269587766028805,0.07246964333819149,10.559041229916232,0.95,0.0
84,85,1.716390350519288,3.3812942246678506,0.04345524132053537,6.331557099270016,0.95,0.0
85,86,0.6416563925734762,3.422773029447407,0.016245333339067407,2.3669930831651618,0.95,0.0
86,87,0.12923974668373422,3.4425571905520034,0.0032720670904770504,0.47674984619651684,0.95,0.0
87,88,0.0,3.454051313417782,0.0,0.0,0.95,0.0
